winery,wine_count,avg_points
Bodega Norton,58,86.86206896551724
San Pedro,87,86.85057471264368
Concannon,73,86.83561643835617
Kenwood,98,86.8265306122449
Glenora,65,86.81538461538462
Heron Hill,83,86.7710843373494
Ravoire et Fils,55,86.76363636363637
Midnight,64,86.703125
DFJ Vinhos,215,86.66976744186047
Viña Casablanca,54,86.62962962962963
Hosmer,52,86.61538461538461
Cono Sur,67,86.53731343283582
François Lurton,87,86.51724137931035
Finca Sophenia,52,86.5
Echeverria,72,86.5
Standing Stone,50,86.48
Chilcas,54,86.42592592592592
Wellington,70,86.4
Snoqualmie,54,86.38888888888889
Cramele Recas,53,86.37735849056604
L. Tramier & Fils,70,86.37142857142857
Pedroncelli,54,86.35185185185185
Wagner,57,86.33333333333333
Maryhill,102,86.30392156862744
Valentin Bianchi,66,86.3030303030303
Santa Rita,93,86.29032258064517
Korbel,57,86.28070175438596
Viña Bisquertt,63,86.17460317460318
Bogle,54,86.16666666666667
Santa Ema,112,86.16071428571429
Kirkland Signature,91,86.15384615384616
Domaines Barons de Rothschild (Lafite),52,86.07692307692308
La Playa,51,86.0
Morandé,85,85.96470588235294
Santa Alicia,83,85.79518072289157
Michel Torino,50,85.68
Bodegas Valdemar,54,85.51851851851852
Barton & Guestier,80,85.4625
McManis,72,85.45833333333333
Castle Rock,80,85.275
